Registration ID,Student Name,Final Rank,Attempt 1 Total,Attempt 2 Total,Overall Percentile,Maths Percentile,Physics Percentile,Chemistry Percentile
20220004416,Mohit Manjrekar,256,216,226,97.480957,97.4223785,97.2466278,97.4223785
20220001206,Mallikarjun Trivedi,258,223,221,97.4646225,97.70047,96.521225,97.8773575
20220004433,Shankar Gangwar,259,223,218,97.4646225,97.228775,97.7594376,97.0518875
20220003479,Jeffery Thomas,261,215,222,97.4329071,97.8413086,96.5577621,97.724617
20220007265,Anand Chakraborty,264,225,216,97.4018478,97.3441086,97.4595871,96.5935364
20220005614,Manuel George,269,218,225,97.3637924,97.4223785,97.3637924,97.1294632
20220005692,Srinivas Tendulkar,270,221,215,97.3466949,97.5235825,96.7570724,97.4056625
20220003052,Aamir Khaif,271,221,218,97.3466949,96.9929276,97.3466949,97.228775
20220002860,Mohit Chatterjee,272,221,223,97.3466949,96.6981125,97.7594376,97.4056625
20220000655,Arvind Dhamdhere,273,221,221,97.3162231,97.666275,97.0828476,97.1995316
20220003057,Ravishankar Bharadhwaj,274,217,221,97.3162231,97.4329071,97.3162231,97.1995316
20220006710,Vijay Gangwar,275,216,221,97.3162231,97.4329071,96.9661636,97.5495911
20220001351,Siddharth Gaekwad,279,223,221,97.256279,96.8476334,97.3730316,97.664917
20220009054,Swapnil Bharadhwaj,282,222,221,97.1708984,97.3441086,96.7090073,96.8822174
20220007038,Arvind Tiwari,283,222,218,97.1708984,96.8822174,97.2286377,96.5935364
20220002922,Joseph Thomas,284,218,220,97.1411896,96.7911301,97.3162231,97.5495911
20220001237,Siddharth Gangwar,286,219,219,97.1395187,97.3146515,97.1978989,97.0227661
20220001080,Virendar Gavaskar,288,220,214,97.1108475,96.81604,96.875,97.8773575
20220001548,Swapnil Patel,290,221,218,97.0554276,97.2286377,96.7090073,96.8822174
20220006141,Jagruthi Gowda,297,230,217,96.9643936,97.1395187,97.1978989,96.9643936
20220004733,Shaheen Gul,299,220,217,96.9643936,97.0227661,97.3730316,96.9643936
20220008883,Suman Vyas,300,221,217,96.9643936,96.8476334,97.1978989,97.1395187
20220004325,Veena Dutta,312,216,217,96.849472,97.666275,96.9661636,96.7327881
20220001511,Shankar Sharma,313,219,218,96.8365555,97.0708847,97.0708847,96.895134
20220008345,Tejas Patel,314,216,218,96.8365555,96.895134,97.2466278,96.7193909
20220006267,Ram Kulkarni,320,215,216,96.6725006,97.3146515,96.8476334,96.6725006
